,negative_prob,positive_prob
kuwait,0.9357674870896352,0.009256150902377143
herbeigeredet,0.9803473983095684,0.06079677479309707
zwangsehe,0.9776155282967809,0.043836409942286214
exekutionen,0.95249859011368,0.031645547150803595
gewaltakte,0.9493016056130749,0.03219924759929517
plünderung,0.9800546096007672,0.03551169507716025
unterschreitung,0.9499437953222032,0.04634342834879948
infektionen,0.9949079209614784,0.005339156230922686
ausländerfeindlichen,0.9488479145142328,0.0703500202798436
arbeitsunfälle,0.9508655319592394,0.04257590417272839
mittelkürzung,0.9609875087922528,0.012245231995563004
verfassungskrise,0.9412135535887592,0.021338069234372658
kriminalisieren,0.9969826680011143,0.0058213983946599724
unübersichtlichkeit,0.9553551609094352,0.07926208055391798
vorgeschoben,0.9648536612319192,0.11514245429340995
bröckelt,0.9575894952090616,0.08460546208812031
milliardenverluste,0.9788436129136728,0.014822112745765266
rechter,0.9827553800620656,0.052010346912829575
fehleinschätzung,0.9944524730714829,0.003034306521761125
deportation,0.9745943977769668,0.04530551586309944
multipler,0.9401695805100916,0.09329296206207638
zuspitzt,0.9757203938129848,0.03645197631758259
mühlsteine,0.9781030263204598,0.013807164881241576
schwindel,0.9805436432762528,0.012313737453105062
bewacht,0.9404499395764628,0.015140832233846362
terroranschläge,0.9958618153246024,0.01081282264363518
missgunst,0.9550581279496348,0.06930675990151305
aufzuhetzen,0.9422237382258104,0.08228864069139155
schauer,0.9556148784810068,0.014003411970012066
schwierigkeit,0.9536087667955416,0.039885295824052265
scheinehen,0.9864554552624839,0.023750605800870597
plünderungen,0.9951721646706098,0.0059717877684555346
rechtsextremisten,0.9846970445047104,0.01952648772279345
hartzivempfängern,0.930081419311622,0.040135212887796055
unwissenheit,0.9971321170819778,0.004212986031213084
schergen,0.9707937493879141,0.02324289132235172
doppelbödigkeit,0.944231096403918,0.06045643141347345
erwerbslosen,0.9735272528904788,0.01327695951293073
rache,0.9753360744696488,0.030590040400022687
abgelehnten,0.9412187588139824,0.02639483252768873
erwerbslose,0.9841203971536796,0.008678110278914951
versuchter,0.9621121464778508,0.0295641832713151
abgeriegelt,0.9685954362648084,0.029884162716094707
langwierige,0.986432394043922,0.012408034106324435
temelin,0.9340185885723914,0.00723906932810248
diskussionsrunden,0.931444738313519,0.02894861212038113
unzulängliche,0.9913051565733378,0.008716099539629669
schwarzgelber,0.9519392221673134,0.16663460284159362
ausländerfeindliche,0.9753446615188028,0.02445998445102309
zeitverzug,0.9508103962057384,0.040628313557891316
vorbeigeredet,0.9790493383260804,0.02412389900924941
geimpft,0.980369464029422,0.03465563984279214
erniedrigende,0.996397372887871,0.0051980695028774546
zugespitzten,0.9634076599569922,0.057551293976961786
grenzüberschreitungen,0.9312113156071142,0.07466967702687828
gegenwind,0.9509424605837644,0.16786749994296427
nichtbeachtung,0.9768841791755359,0.013829385222763887
zurückgelassen,0.9803521972891259,0.030980129869589687
frustration,0.9999922572838146,0.005067555406528953
gefährdungen,0.9791745821216226,0.03500378043777132
hase,0.9499959150552372,0.010301628056871048
abneigung,0.9897074540940412,0.012128177770810312
massenhafter,0.9666789666490012,0.03053183657979665
geheimniskrämerei,0.9868683461087944,0.013138316056291895
unglücks,0.980416108995519,0.03407241298854085
herzinfarkte,0.9806225429549592,0.01785893268836972
musharraf,0.935706760216138,0.07656454877671114
horrenden,0.9457409694696912,0.058774947446789565
entmündigung,0.9637192158592632,0.05816359652749621
preisverfall,0.9974570465313618,0.002231222299591209
geiselhaft,0.9889149448830922,0.014275411723823975
stränge,0.954898399090692,0.03754507483852609
asymmetrische,0.984153102386472,0.004708094100843046
bürgerkriegs,0.9909927292378371,0.009188855514626169
prekarisierung,0.9569654756162658,0.033145369514207434
tutsi,0.995194481792908,0.009191987828792984
neiddebatte,0.9792998281609828,0.027955999677536654
fehlentwicklungen,0.964123666440406,0.061114151117704185
erwerbsunfähigkeit,0.9682169587287628,0.022002655598771462
sinke,0.9487077486991771,0.06662592884631184
syriens,0.9622358857665224,0.03755785287015303
militäreinsätze,0.9722215944308578,0.007218470688152076
waldschäden,0.9483990373109156,0.03422013795301645
indiskutabel,0.999993853059286,0.004431311965929777
armutslöhne,0.9758269054162568,0.04728077773975577
ausgebrochen,0.9885223728424825,0.031151310773455638
verhaltens,0.9665213086235696,0.04758529335089815
unrealistischen,0.9731229212753582,0.03838744396705015
waldsterben,0.9520571920986991,0.03857087878580402
immigration,0.9324052083225376,0.0401412741995686
schlaglichtartig,0.9716847732011732,0.03009597073873876
